,ID,Text
0,1000268201_693b08cb0e.jpg#0,A child in a pink dress is climbing up a set of stairs in an entry way .
1,1000268201_693b08cb0e.jpg#1,A girl going into a wooden building .
2,1000268201_693b08cb0e.jpg#2,A little girl climbing into a wooden playhouse .
3,1000268201_693b08cb0e.jpg#3,A little girl climbing the stairs to her playhouse .
4,1000268201_693b08cb0e.jpg#4,A little girl in a pink dress going into a wooden cabin .
5,1001773457_577c3a7d70.jpg#0,A black dog and a spotted dog are fighting
6,1001773457_577c3a7d70.jpg#1,A black dog and a tri-colored dog playing with each other on the road .
7,1001773457_577c3a7d70.jpg#2,A black dog and a white dog with brown spots are staring at each other in the street .
8,1001773457_577c3a7d70.jpg#3,Two dogs of different breeds looking at each other on the road .
9,1001773457_577c3a7d70.jpg#4,Two dogs on pavement moving toward each other .
10,1002674143_1b742ab4b8.jpg#0,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
11,1002674143_1b742ab4b8.jpg#1,A little girl is sitting in front of a large painted rainbow .
12,1002674143_1b742ab4b8.jpg#2,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
13,1002674143_1b742ab4b8.jpg#3,There is a girl with pigtails sitting in front of a rainbow painting .
14,1002674143_1b742ab4b8.jpg#4,Young girl with pigtails painting outside in the grass .
15,1003163366_44323f5815.jpg#0,A man lays on a bench while his dog sits by him .
16,1003163366_44323f5815.jpg#1,A man lays on the bench to which a white dog is also tied .
17,1003163366_44323f5815.jpg#2,a man sleeping on a bench outside with a white and black dog sitting next to him .
18,1003163366_44323f5815.jpg#3,A shirtless man lies on a park bench with his dog .
19,1003163366_44323f5815.jpg#4,man laying on bench holding leash of dog sitting on ground
20,1007129816_e794419615.jpg#0,A man in an orange hat starring at something .
21,1007129816_e794419615.jpg#1,A man wears an orange hat and glasses .
22,1007129816_e794419615.jpg#2,A man with gauges and glasses is wearing a Blitz hat .
23,1007129816_e794419615.jpg#3,A man with glasses is wearing a beer can crocheted hat .
24,1007129816_e794419615.jpg#4,The man with pierced ears is wearing glasses and an orange hat .
25,1007320043_627395c3d8.jpg#0,A child playing on a rope net .
26,1007320043_627395c3d8.jpg#1,A little girl climbing on red roping .
27,1007320043_627395c3d8.jpg#2,A little girl in pink climbs a rope bridge at the park .
28,1007320043_627395c3d8.jpg#3,A small child grips onto the red ropes at the playground .
29,1007320043_627395c3d8.jpg#4,The small child climbs on a red ropes on a playground .
30,1009434119_febe49276a.jpg#0,A black and white dog is running in a grassy garden surrounded by a white fence .
31,1009434119_febe49276a.jpg#1,A black and white dog is running through the grass .
32,1009434119_febe49276a.jpg#2,A Boston terrier is running in the grass .
33,1009434119_febe49276a.jpg#3,A Boston Terrier is running on lush green grass in front of a white fence .
34,1009434119_febe49276a.jpg#4,A dog runs on the green grass near a wooden fence .
35,1012212859_01547e3f17.jpg#0,"A dog shakes its head near the shore , a red ball next to it ."
36,1012212859_01547e3f17.jpg#1,A white dog shakes on the edge of a beach with an orange ball .
37,1012212859_01547e3f17.jpg#2,"Dog with orange ball at feet , stands on shore shaking off water"
38,1012212859_01547e3f17.jpg#3,White dog playing with a red ball on the shore near the water .
39,1012212859_01547e3f17.jpg#4,White dog with brown ears standing near water with head turned to one side .
40,1015118661_980735411b.jpg#0,A boy smiles in front of a stony wall in a city .
41,1015118661_980735411b.jpg#1,A little boy is standing on the street while a man in overalls is working on a stone wall .
42,1015118661_980735411b.jpg#2,A young boy runs aross the street .
43,1015118661_980735411b.jpg#3,A young child is walking on a stone paved street with a metal pole and a man behind him .
44,1015118661_980735411b.jpg#4,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
45,1015584366_dfcec3c85a.jpg#0,A black dog leaps over a log .
46,1015584366_dfcec3c85a.jpg#1,A grey dog is leaping over a fallen tree .
47,1015584366_dfcec3c85a.jpg#2,A large black dog leaps a fallen log .
48,1015584366_dfcec3c85a.jpg#3,A mottled black and grey dog in a blue collar jumping over a fallen tree .
49,1015584366_dfcec3c85a.jpg#4,The black dog jumped the tree stump .
50,101654506_8eb26cfb60.jpg#0,A brown and white dog is running through the snow .
51,101654506_8eb26cfb60.jpg#1,A dog is running in the snow
52,101654506_8eb26cfb60.jpg#2,A dog running through snow .
53,101654506_8eb26cfb60.jpg#3,a white and brown dog is running through a snow covered field .
54,101654506_8eb26cfb60.jpg#4,The white and brown dog is running over the surface of the snow .
55,101669240_b2d3e7f17b.jpg#0,A man in a hat is displaying pictures next to a skier in a blue hat .
56,101669240_b2d3e7f17b.jpg#1,A man skis past another man displaying paintings in the snow .
57,101669240_b2d3e7f17b.jpg#2,A person wearing skis looking at framed pictures set up in the snow .
58,101669240_b2d3e7f17b.jpg#3,A skier looks at framed pictures in the snow next to trees .
59,101669240_b2d3e7f17b.jpg#4,Man on skis looking at artwork for sale in the snow
60,1016887272_03199f49c4.jpg#0,A collage of one person climbing a cliff .
61,1016887272_03199f49c4.jpg#1,A group of people are rock climbing on a rock climbing wall .
62,1016887272_03199f49c4.jpg#2,A group of people climbing a rock while one man belays
63,1016887272_03199f49c4.jpg#3,Seven climbers are ascending a rock face whilst another man stands holding the rope .
64,1016887272_03199f49c4.jpg#4,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
65,1019077836_6fc9b15408.jpg#0,A brown dog chases the water from a sprinkler on a lawn .
66,1019077836_6fc9b15408.jpg#1,a brown dog plays with the hose .
67,1019077836_6fc9b15408.jpg#2,A brown dog running on a lawn near a garden hose
68,1019077836_6fc9b15408.jpg#3,A dog is playing with a hose .
69,1019077836_6fc9b15408.jpg#4,Large brown dog running away from the sprinkler in the grass .
70,1019604187_d087bf9a5f.jpg#0,A dog prepares to catch a thrown object in a field with nearby cars .
